entry_time,entry_price,stop,target,timeout,target_updates,stop_updates,s1_prob,s2_prob,tp,sl,horizon,exit_time,exit_price,exit_reason,pnl,side
2025-10-26 22:08:00+00:00,4083.13,4108.13,4053.13,2025-10-26 22:39:00+00:00,1,0,0.6000117063522339,0.06553757935762405,30.0,25.0,30,2025-10-26 22:14:00+00:00,4108.13,stop_loss,-25.0,down
2025-10-26 22:48:00+00:00,4072.3,4097.3,4042.3,2025-10-26 23:18:00+00:00,0,0,0.540145218372345,0.014341316185891628,30.0,25.0,30,2025-10-26 23:18:00+00:00,4085.65,timeout,-13.349999999999909,down
2025-10-27 08:56:00+00:00,4029.11,4054.11,3999.11,2025-10-27 09:29:00+00:00,1,0,0.6483521461486816,0.065241739153862,30.0,25.0,30,2025-10-27 09:29:00+00:00,4037.84,timeout,-8.730000000000018,down
2025-10-28 13:42:00+00:00,3916.28,3941.28,3886.28,2025-10-28 14:16:00+00:00,2,0,0.5208233594894409,0.18632036447525024,30.0,25.0,30,2025-10-28 14:00:00+00:00,3941.28,stop_loss,-25.0,down
2025-11-14 14:34:00+00:00,4033.61,4058.61,4003.61,2025-11-14 15:04:00+00:00,0,0,0.7051846981048584,0.32022297382354736,30.0,25.0,30,2025-11-14 14:37:00+00:00,4058.61,stop_loss,-25.0,down
2025-11-20 13:07:00+00:00,4093.53,4068.53,4123.530000000001,2025-11-20 13:37:00+00:00,0,0,0.5689619183540344,0.9851422905921936,30.0,25.0,30,2025-11-20 13:30:00+00:00,4068.53,stop_loss,-25.0,up
2025-12-29 14:31:00+00:00,4370.06,4345.06,4416.45,2025-12-29 15:30:00+00:00,5,0,0.5953216552734375,0.9399948716163635,30.0,25.0,30,2025-12-29 15:02:00+00:00,4345.06,stop_loss,-25.0,up
2025-12-31 05:51:00+00:00,4303.27,4328.27,4248.82,2025-12-31 06:31:00+00:00,3,0,0.6171365976333618,0.0157280582934618,30.0,25.0,30,2025-12-31 06:31:00+00:00,4309.82,timeout,-6.549999999999272,down
2026-01-20 15:24:00+00:00,4731.98,4756.98,4701.98,2026-01-20 15:54:00+00:00,0,0,0.6182705163955688,0.06961935013532639,30.0,25.0,30,2026-01-20 15:54:00+00:00,4736.84,timeout,-4.860000000000582,down
2026-01-21 14:14:00+00:00,4848.07,4873.07,4814.75,2026-01-21 14:52:00+00:00,4,0,0.6594496369361877,0.27741777896881104,30.0,25.0,30,2026-01-21 14:52:00+00:00,4850.37,timeout,-2.300000000000182,down
2026-01-21 23:07:00+00:00,4809.29,4834.29,4748.65,2026-01-22 00:29:00+00:00,2,0,0.6854535937309265,0.04469657316803932,30.0,25.0,30,2026-01-22 00:29:00+00:00,4783.45,timeout,25.840000000000146,down
2026-01-28 23:07:00+00:00,5435.85,5410.85,5465.85,2026-01-28 23:37:00+00:00,0,0,0.5428996682167053,0.7649219036102295,30.0,25.0,30,2026-01-28 23:12:00+00:00,5465.85,target_hit,30.0,up
2026-01-29 01:04:00+00:00,5482.03,5507.03,5438.57,2026-01-29 01:35:00+00:00,2,0,0.6238561272621155,0.032905831933021545,30.0,25.0,30,2026-01-29 01:24:00+00:00,5507.03,stop_loss,-25.0,down
2026-01-29 03:05:00+00:00,5515.42,5490.42,5545.42,2026-01-29 03:35:00+00:00,0,0,0.55861896276474,0.7349554896354675,30.0,25.0,30,2026-01-29 03:35:00+00:00,5536.84,timeout,21.420000000000073,up
2026-01-29 08:53:00+00:00,5512.52,5537.52,5472.31,2026-01-29 09:32:00+00:00,2,0,0.5983352065086365,0.42916151881217957,30.0,25.0,30,2026-01-29 09:32:00+00:00,5515.4,timeout,-2.8799999999991996,down
2026-01-29 14:37:00+00:00,5507.2,5482.2,5537.2,2026-01-29 15:07:00+00:00,0,0,0.5472738742828369,0.6227909922599792,30.0,25.0,30,2026-01-29 14:39:00+00:00,5537.2,target_hit,30.0,up
2026-01-29 14:48:00+00:00,5494.77,5519.77,5456.44,2026-01-29 15:30:00+00:00,7,0,0.7468284964561462,0.04336748272180557,30.0,25.0,30,2026-01-29 15:02:00+00:00,5456.44,target_hit,38.33000000000084,down
2026-01-30 01:12:00+00:00,5331.21,5306.21,5374.6,2026-01-30 01:42:00+00:00,1,0,0.642936646938324,0.9610917568206787,30.0,25.0,30,2026-01-30 01:14:00+00:00,5306.21,stop_loss,-25.0,up
2026-01-30 01:58:00+00:00,5313.1,5288.1,5343.1,2026-01-30 02:28:00+00:00,0,0,0.5084179639816284,0.949080228805542,30.0,25.0,30,2026-01-30 02:00:00+00:00,5288.1,stop_loss,-25.0,up
2026-01-30 14:55:00+00:00,5049.77,5074.77,4994.38,2026-01-30 15:27:00+00:00,3,0,0.5932503938674927,0.1877412497997284,30.0,25.0,30,2026-01-30 15:01:00+00:00,4994.38,target_hit,55.39000000000033,down
2026-01-30 15:02:00+00:00,5004.13,5029.13,4974.13,2026-01-30 15:32:00+00:00,0,0,0.7124972343444824,0.39587029814720154,30.0,25.0,30,2026-01-30 15:04:00+00:00,4985.92,reverse_signal,18.210000000000036,down
2026-01-30 15:05:00+00:00,4985.58,4960.58,5043.4,2026-01-30 15:40:00+00:00,5,0,0.8817167282104492,0.6063098311424255,30.0,25.0,30,2026-01-30 15:11:00+00:00,5037.62,reverse_signal,52.039999999999964,up
2026-01-30 15:12:00+00:00,5036.0,5061.0,5006.0,2026-01-30 15:46:00+00:00,2,0,0.8920877575874329,0.323063462972641,30.0,25.0,30,2026-01-30 15:35:00+00:00,5061.0,stop_loss,-25.0,down
2026-02-01 23:04:00+00:00,4835.23,4860.23,4805.23,2026-02-01 23:34:00+00:00,0,0,0.8814470171928406,0.3642159104347229,30.0,25.0,30,2026-02-01 23:10:00+00:00,4805.23,target_hit,30.0,down
2026-02-01 23:15:00+00:00,4744.13,4719.13,4774.13,2026-02-01 23:45:00+00:00,0,0,0.9000470638275146,0.7374418377876282,30.0,25.0,30,2026-02-01 23:18:00+00:00,4719.13,stop_loss,-25.0,up
2026-02-01 23:19:00+00:00,4703.7,4678.7,4746.4,2026-02-01 23:49:00+00:00,1,0,0.8327621221542358,0.7690014243125916,30.0,25.0,30,2026-02-01 23:34:00+00:00,4746.4,target_hit,42.69999999999982,up
